set V := 1 2 3 4 5 6 7 8 9 10; # m points

set E := (1,2)	(1,3)	(1,4)	(1,5)	(1,6)	(1,7)	(1,8)	(1,9)	(1,10)
(2,3)	(2,4)	(2,5)	(2,6)	(2,7)	(2,8)	(2,9)	(2,10)	
(3,4)	(3,5)	(3,6)	(3,7)	(3,8)	(3,9)	(3,10)		
(4,5)	(4,6)	(4,7)	(4,8)	(4,9)	(4,10)			
(5,6)	(5,7)	(5,8)	(5,9)	(5,10)				
(6,7)	(6,8)	(6,9)	(6,10)					
(7,8)	(7,9)	(7,10)						
(8,9)	(8,10)							
(9,10) ;

param c :=
1	2	0.1831
1	3	2.7096
1	4	7.3704
1	5	6.7469
1	6	5.6704
1	7	3.4838
1	8	5.0887
1	9	5.4026
1	10	7.1142
2	3	2.5266
2	4	7.2046
2	5	6.5954
2	6	5.6797
2	7	3.5772
2	8	5.1561
2	9	5.4428
2	10	6.9822
3	4	4.9829
3	5	4.6631
3	6	6.2834
3	7	5.3057
3	8	6.4845
3	9	6.4391
3	10	5.3853
4	5	1.2621
4	6	7.3571
4	7	8.4011
4	8	8.6513
4	9	8.0954
4	10	2.352
5	6	6.1216
5	7	7.3561
5	8	7.4787
5	9	6.8873
5	10	1.2227
6	7	3.0337
6	8	1.8364
6	9	0.9757
6	10	5.428
7	8	1.7275
7	9	2.3351
7	10	7.1255
8	9	0.8753
8	10	6.9699
9	10	6.2843 ;
