# Number of points
param m := 10;

# Matrix of Euclidean distances
param D : 1 2 3 4 5 6 7 8 9 10 :=
1         0    0.1831    2.7096    7.3704    6.7469    5.6704    3.4838    5.0887    5.4026    7.1142
2    0.1831         0    2.5266    7.2046    6.5954    5.6797    3.5772    5.1561    5.4428    6.9822
3    2.7096    2.5266         0    4.9829    4.6631    6.2834    5.3057    6.4845    6.4391    5.3853
4    7.3704    7.2046    4.9829         0    1.2621    7.3571    8.4011    8.6513    8.0954    2.3520
5    6.7469    6.5954    4.6631    1.2621         0    6.1216    7.3561    7.4787    6.8873    1.2227
6    5.6704    5.6797    6.2834    7.3571    6.1216         0    3.0337    1.8364    0.9757    5.4280
7    3.4838    3.5772    5.3057    8.4011    7.3561    3.0337         0    1.7275    2.3351    7.1255
8    5.0887    5.1561    6.4845    8.6513    7.4787    1.8364    1.7275         0    0.8753    6.9699
9    5.4026    5.4428    6.4391    8.0954    6.8873    0.9757    2.3351    0.8753         0    6.2843
10   7.1142    6.9822    5.3853    2.3520    1.2227    5.4280    7.1255    6.9699    6.2843         0;

# Number of clusters
param k := 3;
